state,school_id,school_name,county,enrollment,lon,lat,no_data,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
ca,26,the academy of alameda elementary,Alameda,46,-122.2854,37.7773,0,0.9683,0.9436,0.9882,0.9348,0.9697,0.9754,0.9774,0.9772,0.9751,0.9049,0.9416,0.9521,0.9559,0.9555,0.9515,0.9697,0.99,0.9921,0.9928,0.9927,0.992,0.0605,H
ca,28,Achieve Academy,Alameda,108,-122.1984,37.7357,0,0.9794,0.9587,0.9826,0.9907,0.9723,0.9775,0.9794,0.9792,0.9773,0.9265,0.958,0.9657,0.9685,0.9682,0.9653,0.9615,0.984,0.9871,0.9882,0.9881,0.987,8e-04,H
ca,29,Acorn Woodland Elementary School,Alameda,51,-122.187,37.7535,0,0.9778,0.9656,0.9924,0.9412,0.9819,0.9854,0.9866,0.9865,0.9853,0.9365,0.9655,0.9719,0.9743,0.974,0.9716,0.976,0.9945,0.9958,0.9961,0.9961,0.9957,0,H
ca,32,Acts Christian Academy,Alameda,21,-122.196,37.7586,0,0.9225,0.8538,0.9436,0.9524,0.9007,0.9177,0.9241,0.9234,0.9168,0.7812,0.8445,0.8699,0.8795,0.8786,0.8688,0.905,0.9416,0.952,0.9559,0.9555,0.9515,0.9912,M
ca,66,Alameda County Community,Alameda,104,-122.0983,37.6585,0,0.996,0.9803,0.9969,0.9904,0.9963,0.9972,0.9974,0.9974,0.9972,0.9578,0.9814,0.9851,0.9863,0.9862,0.9849,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,H
ca,84,albany children's center,Alameda,44,-122.3028,37.8931,0,0.9868,0.963,0.9966,0.9545,0.9917,0.9935,0.994,0.9939,0.9934,0.9328,0.9626,0.9695,0.9721,0.9717,0.9691,0.9823,0.9992,0.9996,0.9996,0.9996,0.9996,0.0053,H
ca,87,Alisal Elementary School,Alameda,104,-121.8712,37.6722,0,0.995,0.9857,0.9965,0.9904,0.9949,0.996,0.9964,0.9963,0.996,0.9661,0.9873,0.9899,0.9907,0.9906,0.9898,0.9821,0.9991,0.9995,0.9995,0.9995,0.9995,0,H
ca,90,All Saints Catholic School,Alameda,28,-122.0762,37.6723,0,0.98,0.9563,0.9933,0.9643,0.9795,0.9834,0.9848,0.9846,0.9832,0.9229,0.9554,0.9636,0.9665,0.9662,0.9632,0.9772,0.9956,0.9966,0.9969,0.9969,0.9966,0.0065,H
ca,91,Allendale Elementary School,Alameda,75,-122.2046,37.7886,0,0.8938,0.8654,0.9065,0.8667,0.8806,0.9006,0.9082,0.9073,0.8995,0.7969,0.8571,0.8807,0.8897,0.8888,0.8796,0.8527,0.9016,0.9185,0.9248,0.9242,0.9177,1,L
ca,97,Altamont Creek Elementary School,Alameda,160,-121.7184,37.7226,0,0.9965,0.9903,0.9969,0.9875,0.9977,0.9984,0.9985,0.9985,0.9983,0.9728,0.9923,0.994,0.9945,0.9944,0.9939,0.9827,0.9995,0.9998,0.9998,0.9998,0.9998,0,H
